Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2021-12-02,160.39527893066406,160.82624080588923,154.55774519881157,155.47843376037946,136739200
2021-12-03,158.5147705078125,161.5706759695091,156.43833361283723,160.64998717410649,118023100
2021-12-06,161.92327880859375,164.43067767179699,160.90463867961986,160.91442783547066,107497000
2021-12-07,167.66281127929688,168.05460157243954,164.88116745170595,165.60596828506618,120405400
2021-12-08,171.48269653320312,172.34462027485748,167.19268602213367,168.593312102322,116998900
2021-12-09,170.97340393066406,173.11840952908594,170.34655427614908,171.31621864051468,108923700
2021-12-10,175.76290893554688,175.93921831838114,171.1007161505561,171.61003610118843,115402700
2021-12-13,172.129150390625,178.38785718223016,171.9234585953343,177.39859965742585,153237000
2021-12-14,170.7481231689453,174.08806304841983,168.67168661995763,171.64921855709608,139380400
2021-12-15,175.61599731445312,175.81188500506997,168.76961267963995,171.5120851840939,131063300
2021-12-16,168.7206573486328,177.41820935643656,167.24168791922142,175.5964252181878,150185800
2021-12-17,167.62367248535156,169.90580094866743,166.20346789014454,166.43852716670187,195432700
2021-12-20,166.26223754882812,167.0751857762259,164.0192955298341,164.822439656907,107499100
2021-12-21,169.4356689453125,169.641345814115,165.64517367936028,168.03504264727704,91185900
2021-12-22,172.03121948242188,172.24670045723798,168.61292124127107,169.48463429565436,92135300
2021-12-23,172.65805053710938,173.21634616947264,171.66880794684926,172.23689273327608,68356600
2021-12-27,176.62484741210938,176.71299463822913,173.43183445537653,173.4514127643316,74919600
2021-12-28,175.60617065429688,177.60426369959058,174.86179154747876,176.458305164174,79144300
2021-12-29,175.6943817138672,176.9186986453212,174.47985393756576,175.64540604755402,62348900
2021-12-30,174.53857421875,176.85988869120052,174.43083375846518,175.7824840883525,59773000
2021-12-31,173.92156982421875,175.5474513193314,173.61792667706044,174.43087489725414,64062300
2022-01-03,178.2703094482422,179.12244407617163,174.05867174915193,174.17620137564992,104487900
2022-01-04,176.0077667236328,179.18120100693088,175.43968197842852,178.87757285498617,99310400
2022-01-05,171.32598876953125,176.46811917460536,171.0517430102158,175.91962765597447,94537600
